"","TCGA-AH-6544-01A-11R-1830-07","TCGA-AH-6547-01A-11R-1830-07","TCGA-AH-6549-01A-11R-1830-07","TCGA-AH-6644-01A-21R-1830-07","TCGA-CL-4957-01A-01R-1736-07","TCGA-EI-6510-01A-11R-1736-07","TCGA-EI-7004-01A-11R-1928-07","TCGA-G5-6233-01A-11R-1736-07","TCGA-G5-6572-01A-11R-1830-07","TCGA-AF-2691-01A-01R-0821-07","TCGA-AF-2693-01A-02R-1736-07","TCGA-AF-5654-01A-01R-1660-07","TCGA-AG-3580-01A-01R-0821-07","TCGA-AG-3581-01A-01R-0821-07","TCGA-AG-3587-01A-01R-0821-07","TCGA-AG-3599-01A-02R-0826-07","TCGA-AG-3726-01A-02R-0905-07","TCGA-AG-3732-01A-11R-1660-07","TCGA-AG-3742-01A-11R-1660-07","TCGA-AG-3878-01A-02R-0905-07","TCGA-AG-3882-01A-01R-0905-07","TCGA-AG-3883-01A-02R-0905-07","TCGA-AG-3890-01A-01R-1119-07","TCGA-AG-3892-01A-01R-1119-07","TCGA-AG-3896-01A-01R-1119-07","TCGA-AG-A002-01A-01R-A002-07","TCGA-AG-A008-01A-01R-A002-07","TCGA-AG-A014-01A-02R-A002-07","TCGA-AG-A015-01A-01R-A002-07","TCGA-AG-A025-01A-01R-A00A-07","TCGA-AG-A02X-01A-01R-A00A-07","TCGA-AH-6897-01A-11R-1928-07","TCGA-CI-6623-01B-11R-1830-07","TCGA-CI-6624-01C-11R-1830-07","TCGA-DC-4749-01A-01R-1736-07","TCGA-DC-5337-01A-01R-1660-07","TCGA-DC-6157-01A-11R-1660-07","TCGA-DC-6158-01A-11R-1660-07","TCGA-DC-6160-01A-11R-1660-07","TCGA-AG-3574-01A-01R-0821-07","TCGA-AG-3575-01A-01R-0821-07","TCGA-AG-4022-01A-01R-1736-07","TCGA-AG-A01W-01A-21R-A083-07","TCGA-AG-A01Y-01A-41R-A083-07","TCGA-AG-A026-01A-01R-A00A-07","TCGA-AG-A02N-01A-11R-A083-07","TCGA-DT-5265-01A-21R-1830-07","TCGA-AF-2692-01A-01R-0821-07","TCGA-AF-3400-01A-01R-0821-07","TCGA-AF-A56K-01A-32R-A39D-07","TCGA-AF-A56N-01A-12R-A39D-07","TCGA-AG-3578-01A-01R-0821-07","TCGA-AG-3591-01A-01R-1736-07","TCGA-AG-3592-01A-02R-1736-07","TCGA-AG-3593-01A-01R-0821-07","TCGA-AG-3594-01A-02R-0821-07","TCGA-AG-3598-01A-01R-0826-07","TCGA-AG-3608-01A-01R-0826-07","TCGA-AG-3611-01A-01R-0826-07","TCGA-AG-3881-01A-01R-0905-07","TCGA-AG-3887-01A-01R-1119-07","TCGA-AG-3894-01A-01R-1119-07","TCGA-AG-3898-01A-01R-1119-07","TCGA-AG-3902-01A-01R-A32Z-07","TCGA-AG-4001-01A-02R-1119-07","TCGA-AG-4008-01A-01R-1119-07","TCGA-AG-4015-01A-01R-1119-07","TCGA-AG-A00H-01A-01R-A00A-07","TCGA-AG-A00Y-01A-02R-A002-07","TCGA-AG-A011-01A-01R-A002-07","TCGA-AG-A01J-01A-01R-A00A-07","TCGA-CL-5918-01A-11R-1660-07","TCGA-DC-6682-01A-11R-1830-07","TCGA-DY-A0XA-01A-11R-A155-07","TCGA-DY-A1DC-01A-31R-A155-07","TCGA-DY-A1DE-01A-11R-A155-07","TCGA-EF-5831-01A-01R-1660-07","TCGA-EI-6506-01A-11R-1736-07","TCGA-EI-6507-01A-11R-1736-07","TCGA-EI-6514-01A-11R-1736-07","TCGA-EI-6882-01A-11R-1928-07","TCGA-F5-6465-01A-11R-1736-07","TCGA-F5-6571-01A-12R-1830-07","TCGA-F5-6811-01A-11R-1830-07","TCGA-F5-6812-01A-11R-1830-07","TCGA-F5-6814-01A-31R-1928-07","TCGA-F5-6861-01A-11R-1928-07","TCGA-CI-6622-01A-11R-1830-07","TCGA-EF-5830-01A-01R-1660-07","TCGA-EI-6883-01A-31R-1928-07","TCGA-AG-3586-01A-02R-0821-07","TCGA-AG-3725-01A-11R-1736-07","TCGA-AG-3727-01A-01R-0905-07","TCGA-AG-A020-01A-21R-A083-07","TCGA-AG-A036-01A-12R-A083-07","TCGA-AF-6655-01A-11R-1830-07","TCGA-DC-6155-01A-11R-1660-07","TCGA-DY-A1H8-01A-21R-A155-07","TCGA-EI-6881-01A-11R-A32Z-07","TCGA-EI-6884-01A-11R-1928-07","TCGA-EI-6917-01A-11R-1928-07","TCGA-G5-6641-01A-11R-A32Z-07","TCGA-AF-6136-01A-11R-1830-07","TCGA-AG-3601-01A-01R-0826-07","TCGA-AG-3612-01A-01R-0826-07","TCGA-AG-3728-01A-01R-0905-07","TCGA-AG-3885-01A-01R-0905-07","TCGA-AG-3893-01A-01R-1119-07","TCGA-AG-3901-01A-01R-1119-07","TCGA-AG-3909-01A-01R-1119-07","TCGA-AG-A00C-01A-01R-A002-07","TCGA-AG-A01L-01A-01R-A002-07","TCGA-AG-A032-01A-01R-A00A-07","TCGA-AH-6903-01A-11R-1928-07","TCGA-BM-6198-01A-11R-1736-07","TCGA-CI-6621-01A-11R-1830-07","TCGA-DC-4745-01A-01R-A32Z-07","TCGA-DC-5869-01A-01R-1660-07","TCGA-DC-6683-01A-11R-1830-07","TCGA-DY-A1DD-01A-21R-A155-07","TCGA-EI-6508-01A-11R-1736-07","TCGA-EI-6511-01A-11R-1736-07","TCGA-EI-6512-01A-11R-1736-07","TCGA-EI-6513-01A-21R-1736-07","TCGA-F5-6863-01A-11R-1928-07","TCGA-F5-6864-01A-11R-1928-07","TCGA-G5-6235-01A-11R-1736-07","TCGA-AF-2687-01A-02R-1736-07","TCGA-AF-2690-01A-02R-1736-07","TCGA-AF-3911-01A-01R-1736-07","TCGA-AF-A56L-01A-31R-A39D-07","TCGA-AG-3600-01A-01R-0826-07","TCGA-AG-3602-01A-02R-0826-07","TCGA-AG-3609-01A-02R-0826-07","TCGA-AG-3999-01A-01R-1119-07","TCGA-AH-6643-01A-11R-1830-07","TCGA-CL-5917-01A-11R-1660-07","TCGA-DY-A1DF-01A-11R-A155-07","TCGA-EI-6509-01A-11R-1736-07","TCGA-F5-6464-01A-11R-1736-07","TCGA-F5-6813-01A-11R-1830-07","TCGA-AF-3913-01A-02R-1119-07","TCGA-AF-6672-01A-11R-1830-07","TCGA-AG-3582-01A-01R-0821-07","TCGA-AG-3583-01A-01R-0821-07","TCGA-AG-3584-01A-01R-0821-07","TCGA-AG-3605-01A-01R-0826-07","TCGA-AG-3731-01A-11R-1736-07","TCGA-AG-4005-01A-01R-1119-07","TCGA-AG-4007-01A-01R-1119-07","TCGA-AG-4021-01A-01R-1736-07","TCGA-AG-A016-01A-01R-A002-07","TCGA-AG-A01N-01A-01R-A00A-07","TCGA-AG-A023-01A-01R-A00A-07","TCGA-AG-A02G-01A-01R-A00A-07","TCGA-CI-6619-01B-11R-1830-07","TCGA-EI-6885-01A-11R-1928-07","TCGA-EI-7002-01A-11R-1928-07","TCGA-AF-4110-01A-02R-1736-07","TCGA-CI-6620-01A-11R-1830-07","TCGA-DC-6154-01A-31R-1928-07","TCGA-DC-6156-01A-11R-1660-07","TCGA-DC-6681-01A-11R-A32Z-07","TCGA-DY-A1DG-01A-11R-A32Y-07","TCGA-F5-6702-01A-11R-1830-07"
"TSPAN6",100.0794,78.3012,111.1867,158.9195,136.3107,74.4666,30.2733,41.5229,189.3351,178.5659,263.814,139.3627,111.3901,112.5148,214.2943,84.3476,60.76,112.9217,163.6859,42.1586,36.2941,78.3951,123.6661,85.8483,161.4778,59.9886,69.4506,82.8875,67.7561,97.1315,36.6892,162.7132,168.9611,185.9796,238.8492,382.4522,327.1545,265.526,117.2852,241.9841,125.9479,226.2993,171.9625,143.4042,109.1256,83.4974,35.7569,152.3655,71.3136,129.0809,164.9336,68.0214,129.5988,219.013,126.0287,135.8038,104.9759,165.6058,87.3938,43.7205,105.0799,118.8553,99.5628,59.4874,166.7462,194.9786,172.0514,101.2579,93.8947,74.0549,121.1049,169.4762,227.818,206.4197,82.6445,115.1026,329.6668,76.9001,34.8578,171.2198,66.1056,264.542,97.9034,263.2005,95.4619,98.605,89.5731,123.5123,163.9743,115.0215,129.2013,105.8578,25.5616,89.5765,133.5893,156.7888,23.9647,57.1321,102.2333,82.2138,53.0255,88.9108,135.6218,185.8205,173.089,89.1435,32.2695,305.5819,113.4752,106.4046,123.9619,90.3374,52.9117,183.0022,53.7583,124.9293,204.3253,421.445,351.048,143.372,240.4948,194.3778,140.4719,195.0178,150.6957,210.1241,161.6033,149.423,93.2304,196.979,101.7991,70.7996,262.5524,139.4726,113.9746,86.994,194.1579,39.4105,62.2073,27.643,155.1426,331.1563,101.0777,296.9396,178.985,89.5888,247.1587,107.2419,59.8719,135.773,103.9331,74.03,141.9152,168.8174,167.1648,90.0394,173.5186,161.4729,90.6592,87.5972,315.604,131.3999,130.3823,120.4071,165.3553
"TNMD",1.0592,0.8561,7.1391,3.3624,0.7197,0.2435,0.1111,0.0498,0.8401,4.6527,6.3835,1.66,0.6421,1.1663,1.2662,5.4077,0.6242,3.3034,6.9971,0.0835,1.2741,1.4569,3.0269,1.7357,1.3758,0,0.4873,0.3278,2.1726,1.7365,0,32.9666,1.1075,5.5277,7.1265,48.5755,9.6578,1.6085,1.6481,0.3745,0.0986,3.5176,3.5474,0.6196,2.4784,1.8594,0.6828,1.0513,0.2876,2.5049,2.5737,0,1.9927,5.3096,2.2745,0.5204,0.9241,17.244,0.6193,0.3318,0.1248,1.6167,4.1131,0.6855,3.066,4.3175,1.6873,1.9998,0.6956,0.5855,6.6217,2.1423,9.5761,1.5633,0.9662,1.9355,4.1491,0.4874,0.0559,4.2147,0.1596,4.3235,1.6463,30.678,1.1811,0.896,2.3958,1.7106,6.2582,1.1172,4.2207,8.2419,0.975,1.29,3.0724,1.0643,0.2751,0.1509,1.085,0.7431,0,3.136,4.3998,0.8077,3.9236,1.3299,0.9301,7.3207,0.3275,1.4787,6.6423,20.1112,3.6474,0.1677,1.7445,0.8183,22.1713,17.0823,11.9377,0.1124,35.751,3.8774,1.283,2.0532,1.7857,39.1193,0.9145,5.4141,7.6184,7.044,2.7823,2.0102,37.7242,2.1729,0.3968,0,2.8993,0.1565,0.0767,0.1618,2.1371,8.0193,1.2229,10.0367,0.465,0.1817,0.0888,1.8731,1.251,1.8263,7.9311,1.2817,3.5314,2.5561,0.2034,1.3923,0.932,13.8592,0.6526,2.0815,16.0769,5.008,24.4869,3.3811,1.5744
"DPM1",165.2514,89.1311,230.5937,156.375,220.6743,90.4715,88.9779,204.6886,178.52,122.9992,148.5823,130.2175,108.3499,97.6458,116.7511,120.5496,21.3712,77.0149,415.9553,28.1935,67.1357,60.737,89.522,99.7589,107.8061,71.3673,120.4894,126.951,82.3606,53.6181,104.7452,206.8229,372.8737,112.0309,522.7017,346.6186,177.2287,316.2309,173.33,159.2746,184.5317,258.6682,206.3787,134.4334,144.0568,84.7636,88.7497,89.0913,91.796,200.3628,293.5102,84.2158,114.8909,326.8547,145.1918,63.7634,150.6712,168.4668,96.4345,33.1315,127.4113,101.6172,155.5543,139.441,191.2127,185.9331,158.7678,162.0384,102.2156,59.6707,91.0958,290.7937,174.0007,246.5413,170.4642,234.6417,269.691,170.5374,95.3274,166.9737,111.8228,126.8433,197.1621,307.5717,161.5983,160.0287,156.2386,175.659,235.7771,233.6171,107.871,125.8011,21.2904,169.422,111.0316,248.0626,44.0636,101.1036,224.0544,173.7758,123.0287,87.5848,229.5326,244.0691,177.8716,58.42,36.2534,135.5974,90.9241,88.6032,117.3008,87.8143,133.9127,146.805,102.9126,237.4332,260.9206,560.243,418.0658,137.4578,157.4653,206.94,231.7879,268.2302,213.4283,259.0166,199.1522,244.677,159.9126,259.5645,259.6958,94.4649,190.2634,219.7335,61.6226,135.1808,349.3769,47.7427,129.8307,132.1808,179.7463,269.2213,127.1857,200.7368,90.9869,117.4109,114.8434,183.8744,108.7358,141.7544,107.3324,149.2149,135.3834,75.7736,175.5828,176.8734,230.927,199.4606,161.5741,195.8213,422.5311,168.786,147.5235,158.7415,171.1278
"SCYL3",7.9307,5.9443,6.8111,11.1986,6.0678,7.1188,7.6229,7.151,13.5636,6.0952,7.5987,6.1877,8.8576,5.9642,8.4175,6.2544,2.7438,9.0802,8.2933,2.4899,3.3779,1.9029,4.5677,5.6244,5.878,8.6438,6.8967,3.0698,8.852,7.0937,6.5208,7.2202,6.3552,6.136,6.84,3.6551,7.5274,7.6283,10.4534,5.6214,8.539,6.0748,10.1744,10.4964,5.7134,7.6647,5.3655,9.491,4.4201,3.9259,6.5308,15.7303,11.4646,5.423,8.1553,8.7042,8.587,6.1226,8.8316,4.5294,5.5924,9.9614,6.5183,5.7621,5.6452,6.8063,4.6656,4.2884,6.8118,5.3156,4.4687,4.223,7.0665,8.0816,3.3716,11.2177,5.2358,7.4281,8.2684,4.9242,11.4644,9.1629,6.3704,7.8853,4.8273,6.0389,10.7537,6.0855,6.1149,6.7655,6.1998,5.4487,2.6582,6.7313,8.1562,6.9229,1.0765,6.2118,6.9413,12.2825,6.3092,5.4522,9.531,4.5727,4.9682,4.1241,3.266,5.2538,7.7966,5.3679,4.3569,5.3205,5.2568,6.2985,6.3298,7.2503,6.5126,6.4799,8.7861,2.8135,10.5049,5.8451,4.9525,7.307,9.2005,7.9405,6.9526,8.178,4.9853,6.4526,4.935,7.1229,4.464,8.61,6.7219,16.2453,6.6362,3.6408,4.6455,9.4729,7.4515,5.0214,15.2701,7.1365,8.8752,6.2917,5.9769,10.7949,5.221,4.2461,9.4298,3.1883,7.8,8.6757,8.1337,5.63,10.5409,16.5274,5.185,8.7683,6.08,9.9796,7.5923,4.0741,4.4468
"C1orf112",7.0923,1.8544,8.303,11.0537,8.1289,2.9599,4.9299,5.2869,5.5489,3.681,8.4494,6.1804,6.0321,4.3476,11.1135,5.3698,2.5976,4.1048,6.0347,2.7881,3.4363,2.6197,3.8804,5.1257,5.8088,2.5373,6.072,4.62,6.0782,5.4739,9.3045,10.1399,9.6122,5.2656,10.8874,7.3916,6.9796,6.9747,17.0829,3.2035,9.0894,3.1772,10.5464,7.5498,4.2893,5.772,1.9535,11.6703,4.4561,3.2786,7.1525,7.5245,5.8385,9.4837,9.2675,7.8481,6.7525,6.2436,4.1852,4.8119,8.8539,7.6476,8.2592,4.9825,5.2277,5.2795,6.433,4.7292,10.8344,2.4852,2.3353,3.1066,8.7042,5.9218,4.0936,6.8029,6.3916,8.4529,6.5349,2.7758,15.2101,4.218,3.4371,4.8338,3.53,6.5616,7.5166,4.8256,5.4625,2.7953,5.3218,3.6847,3.5469,10.4822,7.8843,6.3853,0.425,4.7838,10.131,6.4868,6.8349,2.1509,9.0342,5.4917,5.2661,2.9591,2.6444,4.6576,6.6945,2.6635,5.4338,5.9721,3.5651,4.8569,7.8327,9.3281,8.4202,11.7248,6.333,1.9379,10.4358,4.0814,6.7713,10.3254,6.727,3.8595,3.9051,8.3249,3.1845,6.6893,4.6677,9.7978,4.905,8.8056,7.0142,9.9089,4.2852,1.0317,5.1474,3.9339,7.7398,6.5824,5.5799,7.4769,5.9594,5.3225,8.4492,7.8148,6.7808,4.4677,7.8326,5.0702,7.1812,4.8814,6.0589,8.0351,5.4002,7.7464,2.9975,12.5908,3.3652,6.5079,4.6211,3.0253,4.1927
"FGR",0.5971,14.1615,2.9409,8.1397,1.9342,1.5409,13.5263,9.0281,1.9555,6.387,6.0836,0.8949,6.0712,6.1866,3.8683,3.9077,4.8124,4.8306,3.8823,10.7911,13.1426,11.6186,6.5562,6.9017,4.2955,2.914,0.8932,2.9569,1.4472,2.7283,1.0512,1.1933,7.0671,4.8781,1.8447,3.0421,3.5665,10.611,5.2841,3.3995,4.0005,7.1642,3.3286,14.5247,1.6563,3.201,11.0901,3.5329,44.9784,7.4755,4.5761,9.153,2.3314,3.8027,5.9957,13.9446,4.1674,8.1838,3.3335,19.9323,2.9951,3.1045,14.7546,11.8766,14.8572,7.1297,3.6044,3.1495,3.7441,2.2574,1.6149,1.834,2.1388,2.8753,2.6834,7.4198,6.7324,7.297,31.5825,3.3459,8.114,11.5935,8.2069,7.3303,4.609,5.2141,4.9396,1.6462,3.2063,4.0956,3.9143,1.6028,7.3552,1.7265,3.1904,5.5738,0.7203,1.07,3.5357,8.6317,34.4264,0.8977,4.589,3.1726,7.1349,8.572,6.0887,4.6434,18.5836,4.6556,1.4921,1.9081,1.814,1.4429,12.9433,10.2632,3.1972,3.8756,5.8906,1.7411,3.0173,11.8958,6.2241,5.0905,2.0714,9.1041,0.9252,29.7017,20.1548,3.7521,4.5795,5.222,2.7298,6.0609,6.4505,5.0472,3.4384,10.1072,2.9451,16.5956,6.0108,5.6931,3.2024,8.9911,2.6384,6.3825,3.6028,14.4898,6.1318,6.3343,8.8265,0.6713,2.4659,3.5006,1.3314,10.92,10.3461,6.7073,6.4604,8.2968,5.2903,19.9905,3.5688,0.7378,9.482
"CFH",1.8856,19.5962,11.4733,21.3783,5.1216,2.7173,51.1103,6.1772,24.6338,10.3112,8.8834,2.9711,5.4825,8.1314,5.4804,4.5584,1.9626,12.839,8.2167,6.8291,3.749,8.8192,4.3753,4.9226,7.3015,3.3847,1.3339,2.4861,2.115,3.0834,1.7263,2.6009,6.8732,10.9985,4.718,5.4291,7.1797,37.0861,6.6597,4.8486,55.9132,16.4132,3.4775,7.5964,2.2204,2.3693,16.3105,8.9447,38.3728,9.014,9.5823,6.82,3.223,7.309,8.9021,6.6029,5.0707,5.1415,2.5965,6.443,5.0544,4.6249,8.6839,8.1143,12.9844,16.9213,2.9402,8.2822,2.9806,4.5127,1.4229,1.5012,2.438,6.5162,4.4272,5.37,9.5731,11.7392,19.5555,7.164,10.9363,17.5068,13.0735,23.3341,14.8748,6.5898,5.4934,4.105,4.4187,5.6123,6.3038,3.191,2.4989,1.3362,8.054,22.5594,1.6153,0.5511,4.7362,19.5492,22.5003,1.1913,7.5173,3.1822,6.0823,5.771,2.1934,8.6841,17.3876,4.083,1.3008,1.9206,2.4789,3.0487,10.6418,15.0167,5.8327,9.3875,6.6684,1.8343,8.8168,13.1081,9.164,6.1733,4.8414,22.9614,2.0835,39.8016,36.9492,7.7037,5.7343,4.7273,6.9233,9.4359,3.0274,6.7549,7.5542,1.1818,10.1768,19.5338,9.5528,5.9331,3.3313,7.9386,4.2003,7.0061,1.9045,38.6469,5.3398,5.6535,11.8498,2.1099,2.5801,5.4778,1.4482,10.4038,21.4218,8.5533,13.2135,11.3615,9.2629,37.4469,9.906,0.6849,47.1746
"FUCA2",52.8829,49.4226,76.3377,80.8425,69.4017,82.6766,83.8993,68.724,62.3562,90.4824,49.2639,63.8161,92.2371,59.2206,83.7781,120.0912,47.0092,61.0783,69.5634,43.9966,44.8894,51.0552,61.5682,59.1602,87.0164,244.0672,84.2089,85.4484,123.3227,73.522,105.191,82.6992,112.9798,63.2018,79.5087,89.1794,126.7695,91.5401,94.9898,37.3328,53.0471,86.1041,127.7439,111.3399,40.1447,66.1871,44.8725,57.2405,83.1374,48.1277,82.7112,42.4995,40.7357,96.1665,66.3353,56.3409,80.2861,78.265,69.9132,62.4089,91.6955,98.3127,94.6563,46.8053,90.5206,114.6804,93.8246,85.5405,95.8052,46.6028,63.0533,77.8533,83.5848,56.8855,73.0472,107.1989,83.2154,57.7643,70.0586,54.408,66.6501,93.9992,55.8745,115.3953,61.4134,108.1925,74.3003,96.6039,110.1803,80.0533,90.0125,89.3648,34.312,117.804,128.0608,82.1256,59.9202,57.9205,100.4083,67.8081,44.7597,72.929,134.7595,90.4074,125.6233,63.2965,47.4301,82.9105,97.7655,86.6759,69.4319,90.382,45.386,65.6721,63.9814,71.1861,79.8546,155.9204,77.8436,87.314,76.1519,88.7514,101.6934,71.4261,86.6893,81.5755,86.6579,93.4978,42.0648,57.9276,70.1415,82.4595,51.1167,106.9779,85.6072,75.7197,52.8765,31.2508,52.1007,52.8113,98.7178,150.7729,45.8508,88.8965,80.4266,47.89,50.559,75.6815,52.7991,93.8104,128.0194,116.2451,93.6453,78.6488,97.4368,90.1316,61.9114,24.8566,73.3644,70.5941,109.5556,89.1534,86.2919,100.1695,91.0739
"GCLC",14.6561,9.7954,21.9964,27.7499,20.6758,14.2141,13.5273,27.6263,14.8687,16.5313,23.1674,13.3124,15.0834,13.2302,18.4986,18.7512,6.0932,16.8776,23.457,6.0661,8.4109,5.7618,15.1686,11.6762,17.5821,20.9014,10.1652,23.1704,23.3247,9.2345,21.6056,21.7819,20.7414,17.222,20.9008,16.5084,36.3475,30.0282,27.0552,11.9554,8.4574,20.9014,23.2239,31.5622,13.1588,18.294,9.2556,11.0373,7.2082,16.1697,13.738,19.3296,11.0445,24.1044,14.1643,11.9429,13.5055,14.4603,7.9022,4.8296,15.3443,14.3613,16.4943,21.4431,26.0561,18.1068,18.0385,16.723,15.0902,4.797,8.8059,14.1403,9.9467,19.1246,12.5014,35.6045,34.4829,15.4288,19.7157,15.1403,18.3263,19.046,20.3515,31.2439,13.1727,16.0406,19.6889,18.998,33.8608,6.5821,14.8188,24.07,6.3692,15.657,27.708,25.5071,5.5943,8.7209,18.6819,16.7216,17.9797,25.1284,36.8347,22.4107,16.7999,11.3357,9.2191,17.2526,11.5564,19.6814,9.3185,17.2035,10.1549,20.5732,9.615,14.0672,17.0835,37.1149,27.432,18.2365,30.4751,20.4092,21.0026,29.2995,25.602,26.9271,17.7549,27.623,13.1219,24.7471,19.3466,13.6566,24.8397,9.6111,18.2296,23.9607,23.8238,6.4588,20.9416,19.8614,13.4616,20.9864,15.3377,30.6476,11.6282,22.2158,8.3159,19.7536,19.6462,21.5985,40.5697,30.7988,18.7949,7.1857,16.3884,21.3997,18.3645,19.8745,15.7882,21.3418,28.828,27.4573,12.143,30.1813,20.4852
"NFYA",31.553,21.6929,42.025,57.6654,29.1945,23.2153,30.633,28.7073,44.6865,22.4429,24.6559,21.0464,25.6541,20.5014,26.9234,20.635,24.0123,40.7249,27.6251,16.2086,19.1994,15.2352,20.2335,20.8393,23.7736,40.0821,21.1753,16.2945,30.4692,16.3427,21.5138,34.1891,41.978,19.8346,31.3316,22.3988,62.7487,42.5779,50.968,17.6948,25.7291,29.6089,29.8823,31.5385,31.6765,32.7272,13.5819,32.0032,17.5256,33.6407,47.8639,49.6802,25.6159,30.8859,34.3914,18.5421,20.599,19.1965,11.7132,13.8768,17.9776,22.0402,26.1873,24.7297,36.6471,18.8459,28.4783,17.6454,39.2878,8.0886,20.1394,24.2852,65.3187,30.2732,25.1062,41.0877,32.5097,28.6175,39.8659,24.9358,41.7822,42.8131,24.9663,26.1641,23.2761,36.4881,31.2929,29.745,24.5331,18.1903,21.7818,35.8075,26.7022,24.6143,47.106,26.2433,6.3386,13.4249,27.9447,35.5551,45.0329,29.4242,44.2186,27.2162,22.5049,22.2268,10.0411,14.7815,27.021,18.1216,21.3372,26.4575,20.6312,30.267,37.9317,70.4779,45.7155,58.4929,32.5966,16.1365,28.7145,39.2383,38.5497,40.3698,52.4532,39.3528,23.8904,40.0064,17.3233,39.9567,43.0105,25.5808,15.784,19.9046,34.3465,32.6045,39.8135,6.0301,38.1939,25.5067,38.6113,28.9467,34.4256,30.5862,23.4437,21.249,13.3045,34.6223,31.9411,24.8304,26.5363,23.2818,31.2865,17.9222,36.2329,34.0332,57.4118,38.8847,19.2347,34.6464,51.0262,55.3257,22.9003,30.3058,44.3381
"NIPAL3",11.2102,9.9961,20.5356,10.1264,15.8756,13.8022,10.4615,12.0351,11.6516,9.8603,11.2624,10.1854,12.6578,14.0092,11.2383,13.8146,12.2722,16.0597,26.5164,13.3321,6.2589,4.6397,10.8835,8.7856,17.1404,35.3697,11.7271,11.4328,17.0644,14.0891,18.3505,11.4127,17.4582,16.4217,9.1103,5.7657,13.4207,21.1957,13.2938,12.7774,10.3118,13.4902,10.7689,5.52,11.9841,15.6433,12.0366,13.7401,5.7379,7.6498,11.3576,18.9703,13.6465,13.4629,10.3761,12.5399,13.0001,9.888,15.0146,4.8814,8.7226,14.1541,6.54,19.2746,12.9043,13.4547,11.8855,13.631,11.4915,11.6358,13.9201,9.8953,16.5914,10.2528,14.1776,7.7245,11.6316,15.1288,19.6896,11.8947,22.4745,18.9619,18.7813,12.5431,13.61,13.0367,20.2714,11.8371,16.6014,22.4989,11.9343,14.0337,8.6205,17.0219,15.2283,16.0165,5.1094,3.1166,24.3276,25.7173,10.9248,8.1628,13.05,12.2189,10.5514,8.7098,9.168,11.8374,8.507,12.6428,18.7664,17.1869,9.4606,22.4186,7.2403,12.1041,17.2846,10.0459,14.286,9.3121,20.8709,6.8026,19.6434,20.4365,25.9404,11.2759,15.2531,9.1988,9.2039,16.0986,15.3159,7.8493,6.3712,7.1383,10.9078,13.9525,17.0889,7.1326,12.9496,10.4387,7.9454,9.5236,14.2686,16.1813,6.538,9.4747,12.8284,17.8384,15.6914,9.7843,25.9421,18.5438,11.4554,7.0338,10.6866,11.2105,31.9818,17.6756,8.0929,27.1895,12.805,12.1554,16.4875,10.4709,14.0334
"LAS1L",13.7388,8.8899,18.1734,19.6102,24.4524,11.8084,16.0895,20.6978,12.8071,13.774,14.6876,20.3594,11.8506,10.1152,28.1198,11.4225,37.8504,10.768,30.7615,21.1139,18.641,13.064,12.1386,10.316,20.9149,11.9923,19.7068,48.3563,11.3324,14.1269,13.9279,44.0464,25.6775,14.2919,18.3855,26.7479,18.4356,38.111,20.7771,17.082,6.767,18.2399,27.7539,17.4297,16.2894,9.5698,16.3016,31.1824,14.5054,20.6524,29.5115,14.3806,8.2989,27.6535,18.8143,12.1254,11.6363,25.6453,10.9091,22.3351,16.3564,10.5928,34.3199,28.3098,26.7598,31.9501,14.0837,14.4535,20.3349,11.4502,17.0918,22.1004,27.9262,22.6909,12.1438,9.8091,15.6339,12.878,13.8091,18.1411,10.225,19.4523,11.7504,16.3947,10.2141,28.9585,18.5653,11.2668,13.1216,16.6067,13.5956,14.4688,17.0294,19.7151,11.571,30.9465,13.0237,13.0632,12.3049,15.416,24.9135,9.4984,18.2266,23.0368,20.3399,26.422,12.383,18.3375,11.4624,10.6786,27.8938,17.8481,6.5317,23.5542,10.5664,15.0841,22.4719,31.8346,27.9627,22.1259,14.9778,21.3749,36.0212,37.6762,17.6842,16.3149,12.1482,23.4388,17.2848,17.6536,17.8171,16.4864,14.8675,19.8584,13.761,19.0287,34.7736,7.478,12.8917,17.6471,15.461,21.2437,18.1873,30.6474,9.9317,13.2845,22.9371,17.011,16.1894,12.3509,13.0899,15.0081,19.2013,25.2838,17.7049,12.248,20.1807,28.7418,9.8764,23.7469,43.616,21.7982,15.6086,19.411,20.9467
